Kod Waluty,Kurs,Data Archiwizacji
USD,1,2025-01-13 00:26:07
AED,3.6725,2025-01-13 00:26:07
AFN,71.0726,2025-01-13 00:26:07
ALL,95.1938,2025-01-13 00:26:07
AMD,396.4921,2025-01-13 00:26:07
ANG,1.79,2025-01-13 00:26:07
AOA,920.249,2025-01-13 00:26:07
ARS,1039.75,2025-01-13 00:26:07
AUD,1.6218,2025-01-13 00:26:07
AWG,1.79,2025-01-13 00:26:07
AZN,1.7003,2025-01-13 00:26:07
BAM,1.9052,2025-01-13 00:26:07
BBD,2.0,2025-01-13 00:26:07
BDT,121.8932,2025-01-13 00:26:07
BGN,1.905,2025-01-13 00:26:07
BHD,0.376,2025-01-13 00:26:07
BIF,2920.2724,2025-01-13 00:26:07
BMD,1.0,2025-01-13 00:26:07
BND,1.3702,2025-01-13 00:26:07
BOB,6.9217,2025-01-13 00:26:07
BRL,6.0506,2025-01-13 00:26:07
BSD,1.0,2025-01-13 00:26:07
BTN,86.0923,2025-01-13 00:26:07
BWP,14.0877,2025-01-13 00:26:07
BYN,3.4421,2025-01-13 00:26:07
BZD,2.0,2025-01-13 00:26:07
CAD,1.4417,2025-01-13 00:26:07
CDF,2840.4771,2025-01-13 00:26:07
CHF,0.9153,2025-01-13 00:26:07
CLP,1005.2062,2025-01-13 00:26:07
CNY,7.3458,2025-01-13 00:26:07
COP,4336.9026,2025-01-13 00:26:07
CRC,506.265,2025-01-13 00:26:07
CUP,24.0,2025-01-13 00:26:07
CVE,107.4101,2025-01-13 00:26:07
CZK,24.3954,2025-01-13 00:26:07
DJF,177.721,2025-01-13 00:26:07
DKK,7.2682,2025-01-13 00:26:07
DOP,61.3074,2025-01-13 00:26:07
DZD,135.6998,2025-01-13 00:26:07
EGP,50.5621,2025-01-13 00:26:07
ERN,15.0,2025-01-13 00:26:07
ETB,125.7151,2025-01-13 00:26:07
EUR,0.9741,2025-01-13 00:26:07
FJD,2.3247,2025-01-13 00:26:07
FKP,0.8169,2025-01-13 00:26:07
FOK,7.2682,2025-01-13 00:26:07
